idname,roottype,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14
17,primaryroot,2,2,4,4,4,4,4,4,5,5,5,5,5,5,0.33121597,1.08292752,1.77326544,2.2774674,2.43382163,2.47799929,2.72840113,3.28955038,3.36083888,3.50402073,3.59481838,3.667836666,7.470052426,7.63458094
17,sum_root,2,2,6,7,11,15,15,15,16,16,16,16,16,17,0.33121597,1.08292752,1.979206854,2.81651175,4.35899918,6.08530634,9.10190332,12.22951762,13.62546079,17.11879525,19.04225365,21.39938828,21.05320597,24.43175917
17,Lateralroot,0,0,0,4,4,9,10,17,17,17,18,29,41,50,0,0,0,0.64446413,0.656161756,3.261626587,4.04333094,12.3251446,15.99408904,24.47817817,32.32323781,33.46909286,56.32554192,71.78910015
17,primaryroot,0,1,3,3,3,3,3,3,3,3,3,3,3,3,0,0.27722052,2.51564007,4.7451908,6.568077,10.7750651,13.7926476,17.1468853,20.7434127,22.155554,23.3639137,27.7428783,30.001741,32.4476044
17,sum_root,0,1,3,7,7,12,13,20,20,20,21,32,44,53,0,0.27722052,2.51564007,5.401352556,7.21254113,14.03669169,17.83597854,29.4720299,36.73750174,46.63373217,60.06611611,56.83300656,86.32728292,104.2367045
20,Lateralroot,0,3,9,17,26,45,45,53,54,72,73,73,76,76,0,0.06678301,3.118664738,9.93928404,16.1581127,23.73365126,25.92460778,30.68003513,32.88910957,38.83455381,37.9048201,38.69788999,33.36361216,33.36361216
20,primaryroot,3,5,5,5,5,7,7,7,7,7,7,7,7,7,4.6318902,5.71989068,5.68187141,6.426442845,8.91621535,10.1958401,10.23407153,11.3706781,10.86838248,11.95592115,12.0237337,12.5505987,11.50365477,11.50365477
20,sum_root,3,8,14,22,31,52,52,60,61,79,80,80,83,0,4.6318902,5.78667369,8.800536148,16.36572689,25.07432805,33.92949136,36.15867931,42.05071323,43.75749205,50.79047496,49.9285538,51.24848869,44.86726693,0
34,Lateralroot,0,0,0,0,0,3,3,6,6,11,14,15,21,28,0,0,0,0,0,1.08277935,1.38230539,1.685614804,2.80973121,3.80103979,5.61786635,8.8110105,10.75184028,17.12196181
34,primaryroot,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.91851173,7.04698833,7.75690926,7.01003608,12.55692542,22.0913881,28.2177939,32.8734521,37.0168618,40.820078,40.5347071,44.9715395,47.3518802,50.2457516
34,sum_root,6,6,6,6,6,9,9,12,12,17,20,21,27,34,6.91851173,7.04698833,7.75690926,7.01003608,12.55692542,23.17416745,29.60009929,34.5590669,39.82659301,44.62111779,46.15257345,53.78255,58.10372048,67.36771341
34,Lateralroot,0,0,0,0,4,5,5,5,7,9,9,9,11,12,0,0,0,0,0.945366644,2.05338386,3.52565838,4.41640588,5.59414643,5.743520035,6.57809,6.9174879,7.154535692,8.05188305
34,primaryroot,3,3,3,3,4,5,5,5,5,6,6,6,6,6,2.04680211,3.36402746,3.56082725,4.8405085,7.43356533,9.73731939,10.06968614,12.37264845,13.91957526,15.1684983,15.8240215,15.6727493,15.90680146,15.66638354
34,sum_root,4,3,3,3,8,10,10,10,12,16,15,15,17,18,2.04680211,3.36402746,3.56082725,4.8405085,8.378931974,11.79070325,13.59534452,16.78905433,19.51372169,20.91201834,22.4021115,22.5902372,23.06133715,23.71826659
34,Lateralroot,0,0,0,3,4,10,16,20,22,28,37,42,63,86,0,0,0,1.23341629,3.33538246,7.33122868,14.60733458,24.11027827,31.45291843,38.65416222,43.12991013,46.17285544,50.92539241,63.52655479
34,primaryroot,4,4,4,4,4,4,5,5,5,5,5,5,5,5,3.90017113,4.82079288,8.42404525,13.8618376,20.347554,25.7454195,27.51544291,31.19301744,32.84179473,34.31447828,36.36542607,37.43341828,37.7103582,39.47755057
34,sum_root,5,4,4,7,8,14,21,25,27,33,42,47,68,91,3.90017113,4.82079288,8.42404525,15.09525389,23.68293646,33.07664818,42.12277749,55.30329571,64.29471316,72.9686405,79.4953362,83.60627372,88.63575061,103.0041054
35,Lateralroot,0,0,0,0,0,0,0,0,5,5,5,5,6,8,0,0,0,0,0,0,0,0,0.099031547,0.28243191,0.565337116,0.27768921,0.52838243,0.327754986
35,primaryroot,2,3,3,3,4,4,4,4,4,4,4,4,4,5,0.6535351,1.6539195,1.83384445,2.08093505,2.9151965,3.27555376,4.73782605,5.64515491,5.67038457,5.88004527,6.61460844,6.74537894,7.0904863,7.28971152
35,sum_root,2,3,3,3,4,4,4,4,9,9,9,9,10,13,0.6535351,1.6539195,1.83384445,2.08093505,2.9151965,3.27555376,4.73782605,5.64515491,5.769416117,6.16247718,7.179945556,7.02306815,7.61886873,7.617466506
35,Lateralroot,0,0,0,0,0,0,3,3,5,5,7,8,8,12,0,0,0,0,0,0,0.53799675,1.17043232,1.43663386,1.69638098,1.667081773,2.41498711,1.761301384,2.088817002
35,primaryroot,0,3,5,5,5,5,5,5,5,5,5,5,5,5,0,1.32203812,2.57770183,4.52347224,5.53519696,7.09896114,10.29710998,10.59268233,12.43610742,12.85226739,13.787514,17.08264468,13.65652534,14.37505603
35,sum_root,0,3,5,5,5,5,8,8,10,10,12,13,13,17,0,1.32203812,2.57770183,4.52347224,5.53519696,7.09896114,10.83510673,11.76311465,13.87274128,14.54864837,15.45459577,19.49763179,15.41782672,16.46387303
39,Lateralroot,0,0,4,5,5,5,5,5,6,6,6,6,7,7,0,0,0.368806063,0.84875959,0.48426971,0.777871075,0.53538613,0.824626375,0.466843365,0.630980134,1.31455667,1.24,1.08623607,1.08623607
39,primaryroot,0,3,5,5,5,5,5,5,5,5,6,6,6,6,0,1.1485523,4.78733119,5.07151005,4.69411958,4.50105229,5.1467206,4.77293095,5.07047244,5.81287125,6.02279176,6.33,6.4972981,6.4972981
39,sum_root,0,3,9,10,10,10,10,10,11,11,12,0,13,13,0,1.1485523,5.156137253,5.92026964,5.17838929,5.278923365,5.68210673,5.597557325,5.537315805,6.443851384,7.33734843,7.4604413,7.58353417,7.58353417
40,Lateralroot,0,0,0,0,2,2,2,2,2,3,3,3,3,3,0,0,0,0,0.30988741,0.16807086,1.24561292,1.53345335,1.76629738,2.44415395,3.260844218,3.34494237,3.25636659,3.350057816
40,primaryroot,3,3,3,3,3,3,3,4,4,4,4,4,4,4,1.68690229,1.87708802,1.90443891,1.9123631,1.822048635,2.69737838,2.26985852,2.51138892,2.80846429,4.00770861,5.29369438,5.19829345,5.76112374,5.66549373
40,sum_root,3,3,3,3,5,5,5,6,6,7,7,7,7,7,1.68690229,1.87708802,1.90443891,1.9123631,2.131936045,2.86544924,3.51547144,4.04484227,4.57476167,6.45186256,8.554538598,8.54323582,9.01749033,9.015551546
40,Lateralroot,0,0,0,0,0,1,2,3,4,4,4,5,5,5,0,0,0,0,0,0.27017617,1.15712665,2.82057809,5.3208513,6.4489493,6.48565266,8.11782949,8.0994085,9.03900691
40,primaryroot,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.37951836,1.67182316,1.67957515,1.72046488,1.83883611,1.98439623,2.76403315,2.500524672,2.484795072,2.5132964,2.55948637,2.56747658,2.576126836,2.63319831
40,sum_root,4,4,4,4,4,5,7,7,8,8,8,9,9,9,1.37951836,1.67182316,1.67957515,1.72046488,1.83883611,2.2545724,3.9211598,5.321102762,7.805646372,8.9622457,9.04513903,10.68530607,10.67553534,11.67220522
40,Lateralroot,0,0,5,5,5,8,9,11,11,11,11,11,11,11,0,0,1.1563024,2.40897302,4.76597291,11.05878334,9.94415863,14.54221634,26.62158093,25.70205334,25.68757115,32.3997747,32.71702013,34.92584218
40,primaryroot,1,1,1,1,1,1,1,2,4,4,4,4,4,4,0.82789934,1.1487507,1.5956135,3.3072677,4.306182,2.0973673,5.586115,8.29714002,8.31745698,7.88916336,10.706709,9.81445727,11.27709376,10.56067762
40,sum_root,1,1,6,7,6,9,10,14,15,15,15,14,15,15,0.82789934,1.1487507,2.7519159,5.71624072,9.07215491,13.15615064,15.53027363,22.83935636,34.93903791,33.5912167,36.39428015,42.21423197,43.99411389,45.4865198
42,Lateralroot,0,0,3,9,9,18,22,22,29,29,31,31,32,32,0,0,0.0829719,0.771000546,2.260834448,5.75366541,14.61563433,21.89951107,31.56014578,37.48311483,46.67196478,59.1335069,75.68605339,51.99028874
42,primaryroot,2,3,3,5,5,5,5,5,5,5,5,5,5,5,4.2391878,8.34829416,12.1814098,16.58702322,19.20981228,20.91740698,22.87735168,25.43751148,27.71397935,29.4954086,31.2355546,32.32599127,35.385894,34.80585444
42,sum_root,2,3,6,14,14,23,27,26,34,33,36,36,37,37,4.2391878,8.34829416,12.2643817,17.35802377,21.47064673,26.67107239,37.49298601,47.33702255,59.27412513,66.97852343,77.90751938,91.45949817,111.0719474,86.79614318
42,Lateralroot,0,1,5,9,13,16,22,32,33,36,49,60,64,69,0,0.08921517,0.691830065,4.066941862,5.375715889,7.686418414,16.31855669,22.32986604,26.92217332,33.69543639,39.05254421,44.74889819,47.23042558,56.13792679
42,primaryroot,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.76486859,4.78162093,8.009128,10.20063307,14.2887458,17.7353659,17.2580226,19.6890447,20.6641761,22.5101647,22.6786036,23.9787672,25.1422795,26.5495081
42,sum_root,3,4,8,12,16,19,25,35,36,39,52,63,68,72,1.76486859,4.8708361,8.700958065,14.26757493,19.66446169,25.42178431,33.57657929,42.01891074,47.58634942,56.20560109,61.73114781,68.72766539,72.37270508,82.68743489
42,Lateralroot,0,1,2,3,5,8,14,14,17,21,24,31,31,35,0,0.14051835,0.31545386,1.15333229,1.762493294,2.2846759,3.847651873,4.88293947,5.10870533,7.153117675,6.93216019,6.055177719,7.71409226,8.665633911
42,primaryroot,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.51249267,6.1237785,11.1586964,16.3921366,19.1226926,21.9337722,24.7876273,26.8128697,27.421969,27.8412705,28.260511,21.6828094,28.101658,30.992646
42,sum_root,3,4,5,6,8,11,17,17,20,24,27,34,34,38,2.51249267,6.26429685,11.47415026,17.54546889,20.88518589,24.2184481,28.63527917,31.69580917,32.53067433,34.99438818,35.19267119,27.73798712,35.81575026,39.65827991
45,Lateralroot,0,0,0,0,3,4,4,5,5,5,5,6,7,7,0,0,0,0,0.52453605,2.20250791,4.43773151,4.92003299,5.49217407,5.6090705,5.769583246,6.95958854,6.89596099,6.8665373
45,primaryroot,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.3570724,1.55150728,1.55182045,1.9400213,3.4379256,4.98921874,6.8183031,7.5892408,7.6809371,8.5518403,9.4994109,9.96146647,10.09202724,10.52651155
45,sum_root,4,3,3,3,6,7,7,8,8,8,8,9,10,10,1.3570724,1.55150728,1.55182045,1.9400213,3.96246165,7.19172665,11.25603461,12.50927379,13.17311117,14.1609108,15.26899415,16.92105501,16.98798823,17.39304885
45,Lateralroot,1,1,1,3,8,8,8,8,8,10,12,14,14,15,0.255577,0.34727287,0.24361949,0.96359584,2.056544095,3.319799502,4.05365589,4.07501397,4.273195618,6.06631601,6.575127854,8.265911483,8.961919265,11.13199105
45,primaryroot,2,2,2,2,2,2,2,3,3,3,3,3,3,3,0.77553829,0.76365837,1.3950777,3.1482225,4.5831798,6.1265662,7.4373326,9.475856,10.3468482,11.50505055,12.2207956,13.0218047,13.1363774,14.8162989
45,sum_root,3,3,3,5,10,10,10,11,11,13,15,17,17,18,1.03111529,1.11093124,1.63869719,4.11181834,6.639723895,9.446365702,11.49098849,13.55086997,14.62004382,17.57136656,18.79592345,21.28771618,22.09829667,25.94828995
45,Lateralroot,0,0,0,3,5,7,7,8,8,8,8,8,11,11,0,0,0,0.141227148,0.686481542,2.713175703,4.110271256,6.39058329,7.560275473,10.68855489,12.34982774,13.34814381,14.67551124,14.93940753
45,primaryroot,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.101537,1.33366175,2.6064698,4.3223062,6.19604028,8.24922696,8.91719818,9.90601277,10.410224,10.58327867,11.891835,12.45683695,11.8428967,12.5238322
45,sum_root,3,3,3,6,8,12,10,11,11,11,10,11,14,14,1.101537,1.33366175,2.6064698,4.463533348,6.882521822,10.96240266,13.02746944,16.29659606,17.97049947,21.27183356,24.24166274,25.80498076,26.51840794,27.46323973
49,Lateralroot,0,0,6,10,30,44,50,50,56,82,132,132,153,157,0,0,0.883560905,1.565638506,4.871284686,24.09140412,13.50469769,42.15150776,52.02847185,72.15605723,98.67043061,111.5062716,133.1539018,143.1336747
49,primaryroot,2,2,3,3,3,3,3,5,6,6,6,6,6,6,7.0959724,10.3130912,15.5730871,19.6563598,19.49243617,22.9347237,22.3688775,24.82372713,27.70153302,29.38349496,29.92310167,29.89013233,29.72388284,29.65188208
49,sum_root,2,2,9,13,35,47,53,67,62,88,138,137,159,163,7.0959724,10.3130912,16.45664801,21.22199831,24.36372086,47.02612782,35.87357519,66.97523489,79.73000487,101.5395522,128.5935323,141.396404,162.8777846,172.7855568
49,Lateralroot,0,0,0,37,47,68,81,85,95,133,143,143,143,143,0,0,0,3.869300867,27.98669319,30.08871279,60.48324206,97.54957934,83.61834411,131.5137205,148.8460361,148.8460361,148.8460361,148.8460361
49,primaryroot,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9.3722786,14.5462834,19.0104417,29.3605257,27.6276726,35.9775295,46.690491,55.2788225,43.978788,67.272138,71.956388,71.956388,71.956388,71.956388
49,sum_root,4,4,4,41,51,72,85,89,99,137,147,0,0,0,9.3722786,14.5462834,19.0104417,33.22982657,55.61436579,66.06624229,107.1737331,152.8284018,127.5971321,198.7858585,220.8024241,0,0,0
52,Lateralroot,0,0,0,2,3,8,13,19,25,26,44,62,68,68,0,0,0,0.050122924,0.039625671,0.529689873,2.141551366,3.442092365,3.990490743,7.098314457,10.76426242,22.12713419,45.70887769,45.70887769
